"",,Minimum,Maximum,,,Additional
Scientific,,,,,,
"",Common Name,Temperatur,Temperatu,L∞,K,
Name,,,,,,
"",,e,re,,,References
FISH,,,,,,
Acanthopagrus,Goldsilk,,,,,
"",,14.6,25.7,56,0.29,
berda,seabream,,,,,
Acanthopagrus,Yellowfin,,,,,
"",,4.9,38.2,35.2,0.17,
latus,seabream,,,,,
Acanthopagrus,,,,,,
"",Blackhead,,,,,
schlegeli,,10.4,26.3,50,0.22,
"",seabream,,,,,
schlegelii,,,,,,
"",Danube,,,,,
Acipenser,,,,,,www.orchardfisheries.
"",(diamond),10,20,236,0.04,
gueldenstaedtii,,,,,,co.uk/
"",sturgeon,,,,,
Acipenser,Fringebarbel,,,,,
"",,10,20,200,0.07,
nudiventris,sturgeon,,,,,
Acipenser,,,,,,www.sturgeon-
"",Starry sturgeon,10,20,218.7,0.08,
stellatus,,,,,,web.co.uk/
Acipenser,,,,,,"Crocker & Cech 9,"
"",White sturgeon,10,23.3,610,0.04,
transmontanus,,,,,,Conte10
Anarhichas,Atlantic,,,,,
"",,0,13,152,0.09,O'Dea et al.11
lupus,wolffish,,,,,
Anarhichas,,,,,,Imsland et al.12 ; Foss
"",Spotted wolffish,4,12,190,0.1,
minor,,,,,,et al.13
Anguilla,,,,,,
"",European eel,4,33,152.8,0.24,Sadler 14
anguilla,,,,,,
Anguilla,,,,,,
"",American eel,4,25,120,0.33,
rostrata,,,,,,
Anoplopoma,,,,,,
"",Sablefish,1.8,14.6,120,0.25,
fimbria,,,,,,
Argyrosomus,,,,,,
"",Japanese meagre,12,28,200,0.14,
japonicus,,,,,,
Argyrosomus,,,,,,
"",Meagre,11.9,23,185.5,0.14,
regius,,,,,,
"Big-scale sandsmelt",6,25,10.9,0.62
"Greenhumpheadparrotfish",26.3,29,125,0.12
Malabar trevally,19.9,28.4,37.3,0.82
Crevalle jack,9.6,27.8,80,0.65
Bigeye trevally,21,30,74.1,0.24
Common snook,25,31,140,0.4
"Atlanticspadefish",2.5,28,50.4,0.34
Milkfish,15,42.5,180,1.03
"Largescalemullet",20,28.9,23,0.1
"Europeanwhitefish",4,29.8,59.7,0.38
"Commondolphinfish",21,30,157.9,1.67
"Humpbackgrouper",26.5,29,65.4,0.35
Common dentex,9.7,17.6,100,0.09
"Yellowbackseabream",10.4,26.3,35,0.25
"Europeanseabass",8,24,77,0.2
Spotted seabass,10.5,23.5,70,0.11
"Sharpsnoutseabream",24.3,24.3,60,0.47
Diplodus,,,,,,
"",White seabream,14.7,18,42.3,0.16,
sargus sargus,,,,,,
"",Common two-,,,,,
Diplodus,,,,,,
"",banded,14.7,19.7,40.8,0.26,
vulgaris,,,,,,
"",seabream,,,,,
Dormitator,Pacific fat,,,,,
"",,24.6,33,41,0.57,
latifrons,sleeper,,,,,
Eleutheronema,Fourfinger,,,,,
"",,27.6,27.7,128.7,0.37,
tetradactylum,threadfin,,,,,
"",Hong Kong,,,,,
Epinephelus,,,,,,
"",(redspotted),19,30.2,54.5,0.36,
akaara,,,,,,
"",grouper,,,,,
"",,,,,,http://library.enaca.org
Epinephelus,Areolate,,,,,
"",,18.5,28.6,40.6,0.31,/Grouper/Research/Br
areolatus,grouper,,,,,
"",,,,,,eeding/2000/0803.htm
Epinephelus,Orange-spotted,,,,,
"",,17,35,108,0.15,Lin et al. 18
coioides,grouper,,,,,
Epinephelus,Brown-marbled,,,,,
"",,10,36.5,113.3,0.18,Cheng et al. 19
fuscoguttatus,grouper,,,,,
Epinephelus,,,,,,
"",Giant grouper,26.3,26.3,270,0.36,Hseu et al.20
lanceolatus,,,,,,
Epinephelus,,,,,,
"",Malabar grouper,19,30.2,163.6,0.8,
malabaricus,,,,,,
"",,,,,,http://library.enaca.org
Epinephelus,,,,,,
"",Greasy grouper,17,29.2,115.4,0.13,/Grouper/Research/Br
tauvina,,,,,,
"",,,,,,eeding/2000/0803.htm
Evynnis,Crimson,,,,,
"",,10.4,26.3,,0.22,
japonica,seabream,,,,,
"",,,,,,Schurmann and
Gadus morhua,Atlantic cod,0,15,115,0.19,Steffensen 21;
Gnathanodon,,,,,,saltwater.aqua-
"",Golden trevally,23,29.3,108.2,0.39,
speciosus,,,,,,fish.net/?gold-trevally
Hippoglossus,,,,,,
"",Atlantic halibut,0.9,18,470,0.08,Stuart et al.22
hippoglossus,,,,,,
Huso huso,Beluga,10,20,800,0.04,
Konosirus,Dotted gizzard,,,,,
"",,8.5,27.2,19.7,0.27,
punctatus,shad,,,,,
Larimichthys,Large yellow,,,,,
"",,9,30,80,0.32,
crocea,croaker,,,,,
"Japaneseseabass",13,23,25,0.18
Barramundi,15,38,176,0.39
"Trumpetemperor",21,29.3,80,0.3
"Golden greymullet",10.8,18.8,56,0.25
"Thinlip greymullet",8,24,62.5,0.26
Leaping mullet,9,32,30.5,0.25
"Mangrove redsnapper",16,30,119.5,0.19
"Papuan blacksnapper",18.3,27.2,100,0.28
John's snapper,20.8,26.8,70,0.21
"Russell'ssnapper",23.3,26.4,45,0.56
Tarpon,4.3,27.5,189.5,0.09
Haddock,2,15.5,74.5,0.27
"Mi-iuy (brown)croaker",6,25,70,0.32
Striped bass,6.4,25,200,0.19
"Flathead greymullet",8,24,71.2,0.29
White mullet,10,29.3,28,0.57
"Daggertoothpike conger",10,27.9,111.2,0.37
Black grouper,16,28,133.3,0.15
Pink salmon,0.3,21,76,0.54
Chum salmon,0,23.7,95,0.35
Coho salmon,0,24.8,98,0.98
Rainbow trout,0,29,89.5,0.54
Sockeye salmon,0,24.9,84,0.48
Chinook salmon,0,24.9,120.8,0.54
"Blackspotseabream",9.8,19.7,35.3,0.14
"Commonpandora",7.1,20.2,37.6,0.2
Silver seabream,9.2,29.3,130,0.13
"Red (Japanese)seabream",7.7,22,100,0.15
Red porgy,8.3,25.4,62.9,0.18
Bastard halibut,14,23,103,0.15
"Orbicularbatfish",22,28,53.3,0.56
"Europeanflounder",5,25,43.3,0.37
"Spottedcoralgrouper",22,28.9,100.3,0.21
"Okhotsk atkamackerel",10,29,50,0.35
European plaice,2,25,100,0.15
Pollack,6.5,12.3,130,0.19
"Sixfingerthreadfin (moi)",25.3,40,60.7,0.56
Bluefish,6.1,27.4,103,0.17
Turbot,8,20,60.3,0.29
Pseudocaranx,,,,,,
"",White trevally,13.3,26.3,89.3,0.22,
dentex,,,,,,
Pseudopleuron,,,,,,
ectes,Winter flounder,0.8,23.9,39.7,0.38,
americanus,,,,,,
Rachycentron,,,,,,
"",Cobia,26,32,152.8,0.33,Kaiser & Holt 37
canadum,,,,,,
Rhabdosargus,Goldlined,,,,,
"",,21.1,26.9,63.1,1.36,
sarba,seabream,,,,,
"",,,,,,Elliott & Elliott38 ;
"",,,,,,http://www.fao.org/fis
Salmo salar,Atlantic salmon,2,28,128.6,0.37,
"",,,,,,hery/culturedspecies/s
"",,,,,,earch
"",,,,,,Elliott39; Molony ;
"",Sea (brown),,,,,
Salmo trutta,,0,24,69.2,0.29,Elliott & Elliott 38;
"",trout,,,,,Elliott 29
Salvelinus,,,,,,
"",Arctic char,4,22,92.5,0.04,Elliott & Elliott 38
alpinus alpinus,,,,,,
Salvelinus,,,,,,
"",Brook trout,0,25,67.5,0.32,Raleigh40; Elliott 29
fontinalis,,,,,,
Sciaenops,,,,,,
"",Red drum,9.6,26,104.5,0.4,
ocellatus,,,,,,
"",Korean,,,,,
Sebastes,,,,,,
"",(Schlegel's),15,24,65,0.27,
schlegelii,,,,,,
"",rockfish,,,,,
Seriola,Greater,,,,,
"",,3.2,26.8,144,0.23,
dumerili,amberjack,,,,,
Seriola,Japanese,,,,,
"",,18,29,150,0.44,
quinqueradiata,amberjack,,,,,
"",Longfin,,,,,
Seriola,,,,,,
"",yellowtail,18,26.9,114.7,0.56,
rivoliana,,,,,,
"",(Almaco jack),,,,,
Siganus,White-spotted,,,,,
"",,21,34,27.7,1.87,Grandcourt et al. 41
canaliculatus,spinefoot,,,,,
Siganus,Goldlined,,,,,
"",,24,28,39,1.66,
guttatus,spinefoot,,,,,
"",Streaked,,,,,
