"feed_scen","dev_pattern","rcp","year","eez_code","eez_name","eez_type","ter1_name","ter1_iso","ter1_continent","sov1_name","sov1_iso","sov1_iso3_use","sov1_continent","ncells","area_sqkm","prod_mt","profits_usd"
"Progressive reform","Rational development","RCP 2.6",2021,8314,"Solomon Islands Exclusive Economic Zone","200NM","Solomon Islands","SLB","Oceania","Solomon Islands","SLB","SLB","Oceania",211,21100,34232686.8709982,196745146644.078
"Progressive reform","Rational development","RCP 2.6",2021,8331,"Cambodian Exclusive Economic Zone","200NM","Cambodia","KHM","Asia","Cambodia","KHM","KHM","Asia",27,2700,4380485.99771066,25179935110.8157
"Progressive reform","Rational development","RCP 2.6",2021,8347,"Mozambican Exclusive Economic Zone","200NM","Mozambique","MOZ","Africa","Mozambique","MOZ","MOZ","Africa",55,5500,8923212.21755876,51328603770.9208
"Progressive reform","Rational development","RCP 2.6",2021,8348,"Madagascan Exclusive Economic Zone","200NM","Madagascar","MDG","Africa","Madagascar","MDG","MDG","Africa",232,23200,37639731.5358842,216499455755.157
"Progressive reform","Rational development","RCP 2.6",2021,8353,"Yemeni Exclusive Economic Zone","200NM","Yemen","YEM","Asia","Yemen","YEM","YEM","Asia",50,5000,8112011.1068716,46633147864.4735
"Progressive reform","Rational development","RCP 2.6",2021,8359,"Pakistani Exclusive Economic Zone","200NM","Pakistan","PAK","Asia","Pakistan","PAK","PAK","Asia",23,2300,3731525.10916094,21443883601.6578
"Progressive reform","Rational development","RCP 2.6",2021,8369,"Mauritanian Exclusive Economic Zone","200NM","Mauritania","MRT","Africa","Mauritania","MRT","MRT","Africa",22,2200,3569284.8870235,20524467684.3683
"Progressive reform","Rational development","RCP 2.6",2021,8370,"Gambian Exclusive Economic Zone","200NM","Gambia","GMB","Africa","Gambia","GMB","GMB","Africa",13,1300,2109122.88778662,12130637132.7631
"Progressive reform","Rational development","RCP 2.6",2021,8371,"Senegalese Exclusive Economic Zone","200NM","Senegal","SEN","Africa","Senegal","SEN","SEN","Africa",49,4900,7949770.88473417,45696618219.184
"Progressive reform","Rational development","RCP 2.6",2021,8393,"Beninese Exclusive Economic Zone","200NM","Benin","BEN","Africa","Benin","BEN","BEN","Africa",2,200,324480.444274864,1865923930.57894
"Progressive reform","Rational development","RCP 2.6",2021,8408,"Haitian Exclusive Economic Zone","200NM","Haiti","HTI","Americas","Haiti","HTI","HTI","Americas",81,8100,13141457.993132,75567881876.447
"Progressive reform","Rational development","RCP 2.6",2021,8471,"Guinea Bissau Exclusive Economic Zone","200NM","Guinea-Bissau","GNB","Africa","Guinea-Bissau","GNB","GNB","Africa",65,6500,10545614.4389331,60646413183.8155
"Progressive reform","Rational development","RCP 2.6",2021,8472,"Guinean Exclusive Economic Zone","200NM","Guinea","GIN","Africa","Guinea","GIN","GIN","Africa",23,2300,3731525.10916094,21458085457.6578
"Progressive reform","Rational development","RCP 2.6",2021,8479,"Tanzanian Exclusive Economic Zone","200NM","Tanzania","TZA","Africa","Tanzania","TZA","TZA","Africa",24,2400,3893765.33129837,22387363902.9473
"Progressive reform","Rational development","RCP 2.6",2021,8482,"Myanmar Exclusive Economic Zone","200NM","Myanmar","MMR","Asia","Myanmar","MMR","MMR","Asia",204,20400,33097005.3160361,190251101207.052
"Progressive reform","Rational development","RCP 2.6",2021,8758,"East Timorian Exclusive Economic Zone","200NM","East Timor","TLS","Asia","East Timor","TLS","TLS","Asia",40,4000,6489608.88549728,37298869011.5788
"Progressive reform","Rational development","RCP 2.6",2021,21791,"Oecussi Ambeno Exclusive Economic Zone","200NM","Oecusse","TLS","Asia","East Timor","TLS","TLS","Asia",2,200,324480.444274864,1864943450.57894
"Progressive reform","Rational development","RCP 2.6",2051,8324,"Papua New Guinean Exclusive Economic Zone","200NM","Papua New Guinea","PNG","Oceania","Papua New Guinea","PNG","PNG","Oceania",68,6800,11032335.1053454,63378984199.6839
"Progressive reform","Rational development","RCP 2.6",2051,8331,"Cambodian Exclusive Economic Zone","200NM","Cambodia","KHM","Asia","Cambodia","KHM","KHM","Asia",27,2700,4380485.99771066,25179935110.8157
"Progressive reform","Rational development","RCP 2.6",2051,8333,"Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","200NM","Andaman and Nicobar","IND","Asia","India","IND","IND","Asia",88,8800,14277139.548094,82030833041.4733
"Progressive reform","Rational development","RCP 2.6",2051,8347,"Mozambican Exclusive Economic Zone","200NM","Mozambique","MOZ","Africa","Mozambique","MOZ","MOZ","Africa",55,5500,8923212.21755876,51328603770.9208
"Progressive reform","Rational development","RCP 2.6",2051,8348,"Madagascan Exclusive Economic Zone","200NM","Madagascar","MDG","Africa","Madagascar","MDG","MDG","Africa",236,23600,38288692.424434,220232204992.315
"Progressive reform","Rational development","RCP 2.6",2051,8353,"Yemeni Exclusive Economic Zone","200NM","Yemen","YEM","Asia","Yemen","YEM","YEM","Asia",50,5000,8112011.1068716,46633147864.4735
"Progressive reform","Rational development","RCP 2.6",2051,8359,"Pakistani Exclusive Economic Zone","200NM","Pakistan","PAK","Asia","Pakistan","PAK","PAK","Asia",64,6400,10383374.2167956,59669936978.526
"Progressive reform","Rational development","RCP 2.6",2051,8369,"Mauritanian Exclusive Economic Zone","200NM","Mauritania","MRT","Africa","Mauritania","MRT","MRT","Africa",22,2200,3569284.8870235,20524467684.3683
"Progressive reform","Rational development","RCP 2.6",2051,8370,"Gambian Exclusive Economic Zone","200NM","Gambia","GMB","Africa","Gambia","GMB","GMB","Africa",13,1300,2109122.88778662,12130637132.7631
"Progressive reform","Rational development","RCP 2.6",2051,8371,"Senegalese Exclusive Economic Zone","200NM","Senegal","SEN","Africa","Senegal","SEN","SEN","Africa",49,4900,7949770.88473417,45696618219.184
"Progressive reform","Rational development","RCP 2.6",2051,8408,"Haitian Exclusive Economic Zone","200NM","Haiti","HTI","Americas","Haiti","HTI","HTI","Americas",81,8100,13141457.993132,75567881876.447
"Progressive reform","Rational development","RCP 2.6",2051,8425,"Nicaraguan Exclusive Economic Zone","200NM","Nicaragua","NIC","Americas","Nicaragua","NIC","NIC","Americas",41,4100,6651849.10763471,38213864896.8682
